person_age,person_income,person_home_ownership,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_status
0.01612903225806453,0.0075050033355570376,0.3333333333333333,0.008130081300813009,0.0,0.21739130434782605,0.08370786516853934,0.20512820512820512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.04838709677419353,0.015843895930620414,1.0,0.0813008130081301,0.16666666666666666,0.13043478260869565,0.3410112359550563,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.1290322580645161,0.061374249499666446,0.3333333333333333,0.032520325203252036,0.6666666666666666,0.043478260869565216,0.31445309551117456,0.01282051282051282,1.0,0.4285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,1
0.04032258064516128,0.006671781187458306,0.3333333333333333,0.024390243902439025,0.5,0.3333333333333333,0.5556179775280901,0.34615384615384615,1.0,0.03571428571428571,0.0,0.0,0.0,1.0,0.0,0.0,1
0.02419354838709678,0.010006671114076052,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4348314606741574,0.24358974358974358,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.01612903225806453,0.017178118745830556,1.0,0.04878048780487805,0.6666666666666666,0.6811594202898551,0.8016853932584274,0.28205128205128205,1.0,0.07142857142857142,0.0,0.0,1.0,0.0,0.0,0.0,1
0.02419354838709678,0.012675116744496333,0.6666666666666667,0.05691056910569106,0.0,0.10144927536231883,0.03202247191011237,0.0641025641025641,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0
0.03225806451612903,0.011507671781187459,1.0,0.07317073170731708,0.6666666666666666,0.7101449275362319,0.6123595505617978,0.4358974358974359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.06451612903225806,0.01134089392928619,0.3333333333333333,0.0,0.3333333333333333,0.6811594202898551,0.47359550561797764,0.4230769230769231,0.0,0.10714285714285712,0.0,0.0,0.0,1.0,0.0,0.0,1
0.08870967741935484,0.007588392261507672,1.0,0.024390243902439025,0.16666666666666666,0.2753623188405797,0.29943820224719103,0.2564102564102564,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0
0.01612903225806453,0.003669112741827885,1.0,0.032520325203252036,0.16666666666666666,0.10144927536231883,0.21516853932584273,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.04032258064516128,0.01634422948632422,1.0,0.032520325203252036,0.16666666666666666,0.7101449275362319,0.3129213483146068,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.03225806451612903,0.008338892595063374,0.3333333333333333,0.016260162601626018,0.5,0.5652173913043479,0.6219101123595505,0.4743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
